over,short_text,long_text
16.5,"Narine to Kohli, 1 run","short ball at middle stump, pulled to deep midwicket"
16.4,"Narine to Mandeep, 1 run",short and turning into the body. Punches to long-on off the back footsh
16.3,"Narine to Mandeep, SIX runs","swatted over deep midwicket. Mandeep has nailed this slog sweep against the offbreak. Good stride, clean hit. That's the fifty partnership"
16.2,"Narine to Kohli, 1 run","very short ball on the stumps, mistimes the pull shot and it lands short of deep midwicket. Not done very well against half trackers this season "
16.1,"Narine to Kohli, no run","short of a length outside off, punched straight to cover point"
15.6,"Shivam Mavi to Kohli, 1 run","full outside off, gets the front foot stride out and drives to sweeper cover"
15.5,"Shivam Mavi to Kohli, no run","short of a length and wide outside off. Slaps it on the up, straight to extra cover"
15.4,"Shivam Mavi to Kohli, FOUR runs","shot. Pace, width. Everything you need on this pitch. Waits for it to arrive again and guides it over point"
15.3,"Shivam Mavi to Kohli, no run",length ball lifting up as he looks to punch to long-on. Can't get it off the pitch
15.2,"Shivam Mavi to Kohli, no run","short ball going away wide outside off, beaten as he looks to open the face and get this square"
15.1,"Shivam Mavi to Kohli, FOUR runs",superb. It's a different game when the pacers are one. Even though they're bowling cutters. It's a length ball wide outside off. He waits for it to arrive and chops it between backward point and short third man
14.6,"Narine to Kohli, 1 run",length and coming in again. Taps through square leg off the back foot
14.5,"Narine to Kohli, no run",length ball spinning into middle. Gets an inside edge onto pad as he looks to flick
14.4,"Narine to Kohli, no run",cramped as this length ball spins into him. Can't get bat on the whip
14.3,"Narine to Kohli, 2 runs",length ball whipped in front of deep midwicke from the stumps
14.2,"Narine to Kohli, 2 runs","sensational fielding by Russell at long-on to stop a typical Kohli whip down the ground. He sprints to his left, rotates anticlockwise and stops this ball behind him, one yard in front of the boundary"
14.1,"Narine to Kohli, FOUR runs","sliced over extra cover. Not timed well at all from Kohli. It's a length ball going away off the pitch. He wants to go in that direction, but the poor connection means it's one bounce and into the boundary"
13.6,"Johnson to Kohli, 1 run",slower ball at a length on off stump. Steps out and drives to long-off
13.5,"Johnson to Mandeep, 1 run",sliced uppishly to sweeper cover. Length ball slanted across him and he meets it on the up
13.4,"Johnson to Kohli, 1 run",bouncer at his helmet. Doesn't come on smoothly. Hooks to deep square off the inside half of the bat
13.3,"Johnson to Mandeep, 1 run",leading edge but safe. Short of a length at middle stump and he closes the face too early on the flick. Sweeper cover cleans up
13.2,"Johnson to Kohli, 1 run",another offcutter. At a length and across the corridor. Steers it to third man off the front foot
13.1,"Johnson to Kohli, FOUR runs","oh yeah! Gimme that, he says. It's an offcutter, but the pace is enough. Waits for this length ball outside off, leans in to meet it on the up and punch it past extra cover"
12.6,"Kuldeep to Mandeep, no run",beaten. Unplayable right now. Googly goes high enough in the air before landing that Mandeep expects it to bounce as it goes past him. Brings out the late cut but is well beaten
12.5,"Kuldeep to Mandeep, no run","length outside off, steered to point"
12.4,"Kuldeep to Kohli, 1 run","slugs it off the inside half of the bat. Kuldeep has Kohli in some bother tonight. Another loopy one has Kohli excited, but the slog sweep is not timed well at all. Trickles out to deep midwicket"
12.3,"Kuldeep to Mandeep, 1 run","tossed up at off stump, gets on the front foot and drives to long-off"
12.2,"Kuldeep to Mandeep, no run","beaten by big turn again. A googly, pitched short and outside off. Turns even further away as Mandeep shapes to pull"
12.1,"Kuldeep to Kohli, 1 leg bye",big turn into the pads. Kohli can't get bat as he looks to flick off the back foot
11.6,"Russell to Kohli, 1 run","length ball outside off, opens the face and runs it to third man"
11.5,"Russell to Kohli, FOUR runs","glorious from Kohli. Leans into this full ball outside off, makes use of the allowance - mid-off is in - and makes him fetch it. Hobbles immediately after. Looks like an ankle thing."
11.4,"Russell to Mandeep, 1 run",dropped! Mandeep's attempted ramp is poorly timed. It looks like Russell's getting bouncers to stick in the pitch. It's a lob that goes behind Rana who is at fly slip and he can't hold on after pedalling backwards and tumbling
11.3,"Russell to Kohli, 1 run","slower ball, back of a length outside off. Punched to long-on off the back foot"
11.2,"Russell to Mandeep, 1 run","short of a length at off stump, nudged through square leg off the back foot"
11.1,"Russell to Mandeep, no run",swing in at off stump from back of a length. Mandeep looks to steer it to third man but can't get it past the keeper
11.1,"Russell to Mandeep, 1 wide",full and very wide outside off. Russell got some swing on that one too
10.6,"Kuldeep to Kohli, no run","googly, back of a length at middle stump. Tapped to midwicket off the back foot"
10.5,"Kuldeep to Kohli, 2 runs",half-tracker and he gets an inside edge after getting on the back foot for a pull. Was really looking to launch this. Ended up getting two runs down at fine leg
10.4,"Kuldeep to Kohli, no run",leading edge. This is why Kohli is tentative against Kuldeep. Hasn't picked this googly as he looks to flick through midwicket
10.3,"Kuldeep to Mandeep, 1 run","googly, short of a length and going away from off stump. Gets on the back foot and tickles it through square leg"
